,T a h u n,P e n g h a r g a a n,K a t e g o r i,P e n e r i m a,H a s i l,R e f .
0,2005,Festival Film Bandung 2005,Film Terpuji,Tentang Dia,Nominasi,[2][3]
1,2005,Festival Film Bandung 2005,Sutradara Terpuji,Rudi Soedjarwo,Nominasi,[2][3]
2,2005,Festival Film Bandung 2005,Pemeran Utama Wanita Terpuji,Sigi Wimala,Nominasi,[2][3]
3,2005,Festival Film Bandung 2005,Pemeran Pendukung Wanita Terpuji,Adinia Wirasti,Menang,[2][3]
4,2005,Festival Film Bandung 2005,Skenario Terpuji,Titien Wattimena,Nominasi,[2][3]
5,2005,Festival Film Bandung 2005,Penata Musik Terpuji,Anto Hoed,Nominasi,[2][3]
6,2005,Festival Film Bandung 2005,Sinematografi Terpuji,Roy Lolang,Nominasi,[2][3]
7,2005,Festival Film Bandung 2005,Penata Artistik Terpuji,Arif Hidayat,Nominasi,[2][3]
8,2005,MTV Indonesia Movie Awards 2005,Most Favourite Actress,Adinia Wirasti,Nominasi,[4][5]
9,2005,MTV Indonesia Movie Awards 2005,Most Favourite Supporting Actor,Fauzi Baadilla,Menang,[4][5]
10,2005,MTV Indonesia Movie Awards 2005,Best Song in the Movie,"""Tentang Dia"" — Melly Goeslaw feat Evan Sanders",Menang,[4][5]
11,2005,Festival Film Indonesia 2005,Sutradara Terbaik,Rudi Soedjarwo,Nominasi,[6]
12,2005,Festival Film Indonesia 2005,Pemeran Utama Wanita Terbaik,Sigi Wimala,Nominasi,[6]
13,2005,Festival Film Indonesia 2005,Pemeran Pendukung Wanita Terbaik,Adinia Wirasti,Menang,[6]
14,2005,Festival Film Indonesia 2005,Skenario Terbaik,Titien Wattimena,Nominasi,[6]
15,2005,Festival Film Indonesia 2005,Penata Musik Terbaik,Anto Hoed,Menang,[6]
16,2005,Festival Film Indonesia 2005,Pengarah Artistik Terbaik,Arif Hidayat,Nominasi,[6]
17,2005,Festival Film Indonesia 2005,Penata Suara Terbaik,Satrio Budiono dan Adimolana Mahmud,Nominasi,[6]
18,2007,Indonesian Movie Awards 2007,Aktor Terbaik,Fauzi Baadilla,Nominasi,[7]
19,2007,Indonesian Movie Awards 2007,Aktris Pendukung Terbaik,Adinia Wirasti,Nominasi,[7]
20,2007,Indonesian Movie Awards 2007,Aktris Pendatang Baru Terbaik,Sigi Wimala,Menang,[7]
21,2007,Indonesian Movie Awards 2007,Aktor Terfavorit,Fauzi Baadilla,Nominasi,[7]
22,2007,Indonesian Movie Awards 2007,Aktris Pendukung Terfavorit,Adinia Wirasti,Nominasi,[7]
23,2007,Indonesian Movie Awards 2007,Pendatang Baru Terfavorit,Sigi Wimala,Nominasi,[7]
