,H e w a n ( j e n i s ),K e r a b a t   l i a r,W a k t u   d o m e s t i k a s i   p e r t a m a,W i l a y a h   d o m e s t i k a s i   p e r t a m a,P e m a n f a a t a n   s a a t   i n i,G a m b a r
0,"Alpaka(mamalia, herbivora)",Vikuna,Antara 5000 SM dan 4000 SM,Andes,"wool, daging",
1,"Ayam (unggas, omnivora)",Ayam hutan merah,Tidak di ketahui,India dan Asia Tenggara,"daging, telur, bulu, hewan peliharaan",
2,"Babi(mammalia, omnivora)",Babi hutan,7000 SM,Anatolia,"daging, kulit, hewan peliharaan",
3,"Banteng(mammalia, herbivora)",Banteng,Tidak diketahui,Asia Tenggara,"daging, susu, tenaga",
4,"Bebek ternak(unggas, omnivora)",Anas platyrhnchos,4000 SM,China,"daging, telur, bulu, hewan peliharaan",
5,"Bison Amerika(mammalia, herbivora)",Tidak ada,Akhir abad ke 19,Amerika utara,"daging, kulit",
6,"Cavia porcellus(mammalia, herbivora)",Cavia tschudii,5000 SM,Amerika Selatan,"Daging, hewan peliharaan",
7,"Domba(mammalia, herbivora)",Domba mouflon,Antara 11000 SM-9000 SM,Asia Barat,"Wool, susu, kulit, daging (daging domba muda)",
8,"Kambing(mammalia, herbivora)",Kambing liar,8000 SM,Asia Barat,"Susu, daging, kulit, tenaga",
9,"Karibu(mammalia, herbivora)",Tidak ada,3000 SM,Rusia,"Daging, kulit, tanduk, susu, tenaga,",
10,"Keledai(mammalia, herbivora)",Keledai liar Afrika,4000 SM,Mesir,"tenaga, daging, susu",
11,"Kelinci(mammalia, herbivora)",Kelinci liar,Antara 400-900 masehi,Prancis,"Daging, kulit, hewan peliharaan",
12,"Kerbau(mammalia, herbivora)",Kerbau liar Asia,4000 SM,Asia Selatan,"tenaga, daging, susu",
13,"Kuda(mammalia, herbivora)",Kuda liar,4000 SM,Eurasian,"tenaga, susu, daging",
14,"Llama(mammalia, herbivora)",Guanaco,3500 SM,Andes,"tenaga, daging, wool",
15,"Rusa(mammalia, herbivora)",Tidak ada,Abad ke-1 masehi,Inggris,"Daging, kulit, tanduk, velvet",
16,"Sapi(mammalia, herbivora)",Bos primigenius,6000 SM,"Asia Barat, India, Afrika Utara","Daging, susu, kulit, tenaga hewan",
17,"Unta(mammalia, herbivora)",Unta Dromedari and Baktrian,Antara 4000 SM dan 1400 SM,Asia,"tenaga, daging, susu, bulu",
18,"Yak(mammalia, herbivora)",Tidak ada,2500 SM,"Tibet, Nepal","Daging, susu, wool, tenaga",
