,B a h a s a,N a m a   s u n g a i   T i g r i s
0,Akkadia,Idiqlat
1,Arab,"دجلة, Dijla; حدٌاقل, Ḥudaqil"
2,Aram,"ܕܝܓܠܐܬ, Diglath"
3,Armenia,"Տիգրիս, [Tigris] Error: {{Transl}}: unrecognized language / script code: arm (help)"
4,Yunani,"ἡ Τίγρης, -ητος, hē Tígrēs, -ētos; ἡ, ὁ Τίγρις, -ιδος, hē, ho Tígris, -idos"
5,Ibrani,"חידקל , Ḥîddeqel (dalam Alkitab)"
6,Hurria,[Aranzah] Error: {{Transl}}: unrecognized transliteration standard: (help)[4]
7,Kurdi,Dîcle دیجلە
8,Persia,Old Persian:Tigrā; Middle Persian:Tigr; Modern Persian:دجله Dijle
9,Sumeria,Idigna/Idigina
10,Suryani,ܕܹܩܠܵܬ Deqlaṯ
11,Turki,Dicle
