,T a h u n,P u t a r a n,P o s i s i,M n,M,S *,K,G M,G K
0,1930,Tidak Lolos,Tidak Lolos,Tidak Lolos,Tidak Lolos,Tidak Lolos,Tidak Lolos,Tidak Lolos,Tidak Lolos
1,1934,Peringkat ketiga,3,4,3,0,1,11,8
2,1938,Putaran 1,10,2,0,1,1,3,5
3,1950,Tidak Lolos,Tidak Lolos,Tidak Lolos,Tidak Lolos,Tidak Lolos,Tidak Lolos,Tidak Lolos,Tidak Lolos
4,1954,Juara,1,6,5,0,1,25,14
5,1958,Peringkat keempat,4,6,2,2,2,12,14
6,1962,Perempat final,7,4,2,1,1,4,2
7,1966,Runner-up,2,6,4,1,1,15,6
8,1970,Peringkat ketiga,3,6,5,0,1,17,10
9,1974,Juara,1,7,6,0,1,13,4
10,1978,Grup Putaran 2,6,6,1,4,1,10,5
11,1982,Runner-up,2,7,3,2,2,12,10
12,1986,Runner-up,2,7,3,2,2,8,7
13,1990,Juara,1,7,5,2,0,15,5
14,1994,Perempat final,5,5,3,1,1,9,7
15,1998,Perempat final,7,5,3,1,1,8,6
16,2002,Runner-up,2,7,5,1,1,14,3
17,2006,Peringkat ketiga,3,7,5,1,1,14,6
18,2010,Peringkat ketiga,3,7,5,0,2,16,5
19,2014,Juara,1,7,6,1,0,18,4
20,2018,Babak grup,22,3,1,0,2,2,4
21,2022,Babak grup,Babak grup,Babak grup,Babak grup,Babak grup,Babak grup,Babak grup,Babak grup
22,2026,Akan ditentukan,Akan ditentukan,Akan ditentukan,Akan ditentukan,Akan ditentukan,Akan ditentukan,Akan ditentukan,Akan ditentukan
23,Total,4 Gelar,20/22,109,67,20,22,226,125
