,T a h u n,B a b a k,G P,W,D *,L,G S,G A
0,2002,ke-3,6.0,4.0,1.0,1.0,10.0,6.0
1,2003,ke-4,5.0,1.0,3.0,1.0,6.0,6.0
2,2004,ke-4,5.0,3.0,1.0,1.0,11.0,7.0
3,2005,Babak grup,3.0,1.0,0.0,2.0,6.0,3.0
4,2006,Babak khusus,3.0,0.0,2.0,1.0,3.0,4.0
5,2007,Runner-up,5.0,3.0,1.0,1.0,8.0,4.0
6,2008,Babak khusus,3.0,0.0,2.0,1.0,5.0,6.0
7,2009,Babak grup,3.0,0.0,1.0,2.0,1.0,6.0
8,2010,Juara,5.0,5.0,0.0,0.0,10.0,4.0
9,2011,Semi-final,4.0,1.0,1.0,2.0,5.0,5.0
10,2012,Babak khusus,3.0,1.0,0.0,2.0,1.0,5.0
11,2013,,,,,,,
12,Total,8/11,45.0,19.0,12.0,14.0,66.0,56.0
