,N a m e,T g l . l a h i r,K l u b,T a m p i l   ( g o l )
0,Jordan Pickford,7 Maret 1994 (umur 29),Sunderland,3 (0)
1,Ben Garratt,25 April 1994 (umur 28),Crewe Alexandra,1 (0)
2,Bek,Bek,Bek,Bek
3,Tyler Blackett,2 April 1994 (umur 29),Manchester United,2 (0)
4,Adam Jackson,18 Mei 1994 (umur 28),Middlesbrough,2 (0)
5,Jack Stephens,27 Januari 1994 (umur 29),Southampton,1 (0)
6,Jack O'Connell,29 Maret 1994 (umur 29),Blackburn Rovers,1 (0)
7,Daniel Potts,13 April 1994 (umur 28),West Ham United,1 (0)
8,Jordan Willis,24 Agustus 1994 (umur 28),Coventry City,1 (0)
9,Gelandang,Gelandang,Gelandang,Gelandang
10,John Lundstram,18 Februari 1994 (umur 29),Everton,2 (0)
11,Jordan Lussey,2 November 1994 (umur 28),Liverpool,2 (0)
12,Nick Powell,23 Maret 1994 (umur 29),Manchester United,1 (0)
13,Jack Dunn,19 November 1994 (umur 28),Liverpool,1 (0)
14,Penyerang,Penyerang,Penyerang,Penyerang
15,Hallam Hope,17 Maret 1994 (umur 29),Everton,2 (2)
16,Max Clayton,9 Agustus 1994 (umur 28),Crewe Alexandra,2 (0)
17,Jordi Hiwula,21 September 1994 (umur 28),Manchester City,2 (1)
18,Ben Osborn,5 Agustus 1994 (umur 28),Nottingham Forest,1 (0)
19,Matt Lecointe,28 Oktober 1994 (umur 28),Plymouth Argyle,1 (1)
20,Jack Barmby,14 November 1994 (umur 28),Manchester United,1 (0)
