,0 # 0,P o s .,N a m a   P e m a i n,T a n g g a l   l a h i r   ( u m u r ),T a m p i l,G o l,K l u b
0,1.0,GK,Jack Butland,10 Maret 1993 (umur 30),5.0,0.0,Birmingham City
1,18.0,GK,Jason Steele,18 Agustus 1990 (umur 32),1.0,0.0,Middlesbrough
2,,,,,,,
3,2.0,DF,Neil Taylor,7 Februari 1989 (umur 34),5.0,0.0,Swansea City
4,3.0,DF,Ryan Bertrand,5 Agustus 1989 (umur 33),4.0,0.0,Chelsea
5,5.0,DF,Steven Caulker,29 Desember 1991 (umur 31),5.0,0.0,Tottenham Hotspur
6,6.0,DF,Craig Dawson,6 Mei 1990 (umur 32),3.0,0.0,West Bromwich Albion
7,12.0,DF,James Tomkins,29 Maret 1989 (umur 34),2.0,0.0,West Ham United
8,14.0,DF,Micah Richards,24 Juni 1988 (umur 34),5.0,0.0,Manchester City
9,,,,,,,
10,4.0,MF,Danny Rose,2 Juli 1990 (umur 32),4.0,0.0,Tottenham Hotspur
11,7.0,MF,Tom Cleverley,12 Agustus 1989 (umur 33),5.0,0.0,Manchester United
12,8.0,MF,Joe Allen,14 Maret 1990 (umur 33),5.0,0.0,Swansea City
13,11.0,MF,Ryan Giggs,29 November 1973 (umur 49),4.0,0.0,Manchester United
14,13.0,MF,Jack Cork,25 Juni 1989 (umur 33),4.0,0.0,Southampton
15,15.0,MF,Aaron Ramsey,26 Desember 1990 (umur 32),5.0,1.0,Arsenal
16,16.0,MF,Scott Sinclair,25 Maret 1989 (umur 34),3.0,1.0,Swansea City
17,,,,,,,
18,9.0,FW,Daniel Sturridge,1 September 1989 (umur 33),5.0,2.0,Chelsea
19,10.0,FW,Craig Bellamy,13 Juli 1979 (umur 43),5.0,1.0,Liverpool
20,17.0,FW,Marvin Sordell,17 Februari 1991 (umur 32),2.0,0.0,Bolton Wanderers
