,0,1,2,3,4,5,6,7,8,9
0,Ketua Pemerintah Sementara Timor Timur,Ketua Pemerintah Sementara Timor Timur,Ketua Pemerintah Sementara Timor Timur,Ketua Pemerintah Sementara Timor Timur,Ketua Pemerintah Sementara Timor Timur,Ketua Pemerintah Sementara Timor Timur,Ketua Pemerintah Sementara Timor Timur,Ketua Pemerintah Sementara Timor Timur,Ketua Pemerintah Sementara Timor Timur,Ketua Pemerintah Sementara Timor Timur
1,No.,Foto,Ketua,Mulai menjabat,Akhir menjabat,Partai,Wakil Ketua,Wakil Ketua,Periode,Keterangan
2,—,,Arnaldo dos Reis Araújo,17 Desember 1975,3 Agustus 1976,Apodeti,,Francisco Xavier Lopes da Cruz,—,[ket. 1]
3,Gubernur Timor Timur,Gubernur Timor Timur,Gubernur Timor Timur,Gubernur Timor Timur,Gubernur Timor Timur,Gubernur Timor Timur,Gubernur Timor Timur,Gubernur Timor Timur,Gubernur Timor Timur,Gubernur Timor Timur
4,No.,Foto,Gubernur,Mulai menjabat,Akhir menjabat,Partai,Wakil Gubernur,Wakil Gubernur,Periode,Keterangan
5,1,,Arnaldo dos Reis Araújo,3 Agustus 1976,19 September 1978,,,Francisco Xavier Lopes da Cruz,1,[ket. 2][ket. 3]
6,2,,Guilherme Maria Gonçalves,19 September 1978,18 September 1982,,,Francisco Xavier Lopes da Cruz,1,[ket. 4]
7,3,,Mário Viegas Carrascalão,18 September 1982,18 September 1987,Golongan Karya,Lowong,Lowong,2,
8,3,,Mário Viegas Carrascalão,18 September 1987,18 September 1992,Golongan Karya,,Antonius Baldinuci Saridjo(1989–1992),3,
9,4,,José Abílio Osório Soares,18 September 1992,18 September 1997,Golongan Karya,,Antonius Baldinuci Saridjo(1992–1993),4,
10,4,,José Abílio Osório Soares,18 September 1992,18 September 1997,Golongan Karya,,Johanes Haribowo(1993–1997),4,
11,4,,José Abílio Osório Soares,18 September 1997,19 Oktober 1999,Golongan Karya,,,,
12,4,,José Abílio Osório Soares,18 September 1997,19 Oktober 1999,Golongan Karya,,Johanes Haribowo(1997–1998),5,[ket. 5]
13,4,,José Abílio Osório Soares,18 September 1997,19 Oktober 1999,Golongan Karya,,Johannes Suryo Prabowo(1998),5,[ket. 5]
14,4,,José Abílio Osório Soares,18 September 1997,19 Oktober 1999,Golongan Karya,,Radjakarina Brahmana(1998),5,[ket. 5]
15,4,,José Abílio Osório Soares,18 September 1997,19 Oktober 1999,Golongan Karya,,Musiran Darmosuwito(1998–1999),5,[ket. 5]
16,4,,José Abílio Osório Soares,18 September 1997,19 Oktober 1999,Golongan Karya,,,,
