,N o .,N a m a,P o t r e t,C a t a t a n
0,1,Chikarataro,,
1,2,Issun-bōshi,,anak laki-laki satu inci
2,3,Kintarō,,"manusia super Golden Boy, berdasarkan pahlawan rakyat Sakata no Kintoki"
3,4,Momotarō,,Bocah Persik yang membunuh oni
4,5,Kisah Pengambil Bambu,,tentang seorang gadis misterius bernama Kaguya-hime yang dikatakan berasal dari ibu kota bulan
5,6,Shippeitaro,,seorang pejuang dan seekor anjing yang mengalahkan roh-roh jahat
6,7,Uriko-hime,,seorang gadis yang lahir dari melon dan diadopsi oleh pasangan manusia lanjut usia
7,8,Hachikazuki,,seorang gadis yang memakai mangkuk di kepalanya
8,9,Hagoromo,,tennin yang mantel bulunya dicuri oleh seorang nelayan
9,motif makhluk yang berterima kasih,motif makhluk yang berterima kasih,motif makhluk yang berterima kasih,motif makhluk yang berterima kasih
10,10,Bunbuku Chagama,,kisah teko yang sebenarnya adalah tanuki yang berubah bentuk
11,11,Hanasaka Jiisan,,kisah orang tua yang membuat bunga mekar
12,12,Kasa Jizō,,patung Jizō yang diberi topi jerami dan berterima kasih
13,13,Omusubi Kororin,,kisah seorang lelaki tua yang menjatuhkan beras ke dalam lubang tikus
14,14,Shita-kiri Suzume,,cerita burung gereja berlidah pendek
15,15,Urashima Tarō,,yang menyelamatkan penyu dan mengunjungi dasar laut
16,16,My Lord Bag of Rice,,
17,17,Tsuru no Ongaeshi,,kisah seekor bangau yang membalas budi karena menyelamatkan nyawanya
18,motif keberuntungan,motif keberuntungan,motif keberuntungan,motif keberuntungan
19,18,Kobutori Jīsan,,"seorang pria dengan wen besar (tumor, kobu) di pipinya, dan bagaimana dia kehilangannya"
20,19,Saudagar Jerami,,Saudagar Jerami (わらしべ長者Warashibe Chōja)
21,motif hukuman,motif hukuman,motif hukuman,motif hukuman
22,20,Pertarungan Monyet dan Kepiting,,Pertarungan Monyet dan Kepiting (さるかに合戦saru kani gassen)
23,21,Kachi-kachi Yama,,kelinci menghukum tanuki
