,P e n d a f t a r a n   d e n g a n   J e n i s   K u a l i f i k a s i [ 8 ],2 0 1 4,2 0 1 3,2 0 1 2,2 0 1 1,2 0 1 0,2 0 0 9,2 0 0 8,2 0 0 7,2 0 0 6,2 0 0 5,2 0 0 4,2 0 0 3
0,Doktoral,1.388,1.361,1.377,1.259,1.258,1.206,1.104,1.048,935,829,755,723
1,Master,1.214,1.216,1.281,969,979.0,921.0,874,838,1.052,1.108,1.060,994
2,Sarjana kehormatan,434.0,460,524,873,854.0,843.0,723,750,736,769,771,763
3,Sarjana biasa,15.136,15.489,15.762,15.593,15.78,15.359,13.347,13.136,12.868,12.939,12.711,12.186
4,Diploma dan Sertifikasi Pascasarjana,1.388,1.383,1.477,1.541,1.66,1.62,1.566,1.435,1.507,1.378,1.353,1.345
5,Lulusan Diploma dan Sertifikasi,388.0,416,426,475,487.0,405.0,317,494,204,392,314,298
6,Mahassiwa Sarjana Diploma dan Sertifikasi,65.0,73,92,116,152.0,169.0,133,265,216,239,318,344
7,Sertifikasi Profisiensi,1.284,1.228,1.171,1.326,1.45,1.419,?,?,?,?,?,?
8,Hanya tertarik,10.0,?,?,?,223.0,150.0,?,?,?,?,?,?
9,Studi dasar,300.0,303,266,254,273.0,282.0,?,?,?,?,?,?
10,Total,20.942,21.113,21.416,21.728,22.139,21.507,20.752,20.665,19.853,20.057,19.674,18.844
