,P r o v i n s i,K o r b a n
0,Provinsi Sistan dan Baluchestan,128
1,Kurdistan,53
2,Provinsi Azerbaijan Barat,51
3,Provinsi Tehran,43
4,Provinsi Mazandaran,37
5,Provinsi Kermanshah,25
6,Provinsi Gilan,24
7,Provinsi Alborz,16
8,Provinsi Isfahan,14
9,Provinsi Khuzestan,10
10,Provinsi Fars,8
11,Provinsi Razavi Khorasan,6
12,Provinsi Zanjan,4
13,Provinsi Azarbaijan Timur,4
14,Provinsi Lorestān,3
15,Provinsi Markazi,3
16,Provinsi Qazvin,3
17,Provinsi Hamadān,3
18,Provinsi Kohgiluyeh dan Boyer-Ahmad,2
19,Provinsi Ardabil,2
20,Provinsi Īlām,2
21,Provinsi Bushehr,2
22,Provinsi Hormozgān,2
23,Provinsi Semnan,1
24,Provinsi Kerman,1
25,Provinsi Golestān,1
26,Total,448
