,N a m a,G a m b a r,R u a n g   l i n g k u p   d a n   h a b i t a t,K e t e r a n g a n   s i n g k a t
0,Ursus arctos arctos – Eurasian brown bearBeruang cokelat eurasia,,"Eropa, Kaukasus, Siberia (kecuali timur) dan Mongolia[8]",[8]
1,Ursus arctos alascensis[9],,Alaska,
2,Ursus arctos beringianus – Kamchatka brown BearBeruang cokelat kamchatka,,Kamchatka Peninsula dan Pulau Paramushir[8],"Beruang ini berukuran sangat besar, berwarna cokelat gelap. Yang berwarna terang ditemui di Eropa-Siberia. Cakarnya gelap;[8]"
3,Ursus arctos californicus – Beruang pirang california (diyakini punah),,California,Beruang ini yang terakhir kali diketahui masih bertahan hidup telah ditembak di California pada tahun 1922.
4,Ursus arctos collaris – East Siberian brown bearBeruang cokelat siberia timur.,,"Siberia timur, dari Sungai Yenisei to the Pegunungan altai, juga ditemukan Mongolia timur.","Sebagian bersar berwarna gelap, berukuran sedang dengan proporsional tengkorak yang lebih besar.[8]"
5,Ursus arctos crowtheri – Atlas bearBeruang atlas (diyakini punah),,"Habitat sementara masih ada wujudnya di Pegunungan Atlas dan daerah sekitarnya, di Afrika Utara, dari Maroko hingga Libya.",Beruang ini yang terakhir diketahui masih bertahan hidup telah dibunuh oleh pemburu diperkirakan pada 1870-an.
6,Ursus arctos dalli,,,
7,Ursus arctos gyas – Peninsular brown bearBeruang cokelat pesisir,,Pesisir Alaska,
8,Ursus arctos horribilis – Grizzly bearBeruang cokelat amerika,,"Kanada Barat, Alaska, dan Amerika Serikat Barat Laut, sejarahnya ada di Great Plains","Beruang cokelat amerika yang memiliki ciri-ciri lapisan cokelat sedang hingga gelap dengan abu-abu, atau disebut ""beruban"" di bulunya. Berukuran lebih kecil dari beruang di pesisir, beruang jantan dewasa yang tinggal diarea pedalaman dapat berbobot hingga 364 kilogram (802 pon), Mudah beradaptasi: dapat hidup di hutan pegunungan pinus, Hutan hujan sedang, semak belukar kering, dan padang rumput."
9,Ursus arctos isabellinus – Himalayan brown bearBeruang cokelat himalaya,,"Nepal, Pakistan, and India Timur","Memiliki warna bulu cokelat kemerahan atau lapisan berpasir, beruang ini berukuran paling kecil dari kebanyakan beruang cokelat lainnya yang ditemukan di benua Asia."
10,Ursus arctos lasiotus – Ussuri brown bearBeruang cokelat ussuri,[[Berkas:Ursus arctos lasiotusBeijing Zoo 3.JPG|140 px]],"Russia: Southern Kuril Islands, Sakhalin, Maritime territory, dan Ussuri/Sungai Amur di wilayah selatan Stanovoy Range, China: Heilongjiang, Japan: Hokkaidō[8]",[10]
11,Ursus arctos middendorffi – Kodiak bearBeruang kodiak,,"Kodiak, Afognak, Pulau Shuyak (Alaska)","Jenis beruang cokelat yang paling besar, hampir sebesar beruang cokelat Pesisir Lain."
12,Ursus arctos nelsoni – Mexican grizzly bear Beruang cokelat meksiko (diyakini punah),,"Sebelumnya hidup di Meksiko utara, termasuk Chihuahua, Coahuila, dan Sonora, barat daya Amerika Serikat termasuk rentang selatan (Texas, Arizona, dan New Mexico).",Beruang ini bisa hidup di kedua hutan pinus pegunungan Meksiko dan Area tebing Gurun Sonoran (canyonlands of Sonoran desert). Namun diyakini punah karena peternakan di Amerika Serikat dan Meksiko yg menggusur habitat beruang tersebut.
13,Ursus arctos pruinosus – Tibetan blue bearBeruang biru tibet,,Dataran tinggi Tibet[8],"Beruang Tibetan blue adalah jenis beruang yang berukuran sedang dengan bulu acak dan panjang. Bulu di sekitar leher lebih tipis, dan membentuk ""kerah"". Tengkorak dibedakan choanae yang relatif rata, kurva lengkung seperti dari baris molar dan gigi besar.[8]"
14,Ursus arctos sitkensis,,Pulau Baranof,
15,Ursus arctos stikeenensis,,,
16,Ursus arctos syriacus – Syrian brown bearBeruang cokelat suriah,,"Ditemukan di Kaukasus Selatan, Suriah, Irak, Turki (Asia Kecil), Iran, Afghanistan, Pakistan, Himalaya Barat dan Pamir-Alai dan pegunungan Tian Shan,[8] kemungkinan sejarah kehadiran beruang ini ada di Palestina utara (yang saat ini diduduki Israel).","Beruang Suriah berwarna terang, berukuran sedang hingga kecil dengan cakar terang.[8]"
17,Ursus arctos marsicanus – Marsican brown bearBeruang cokelat marsica (tidak diakui secara resmi),,"Marsica, Italia tengah",Diperkirakan 30 sampai 40 beruang yang tersisa di daerah Marsica.
