,N a m a   d a l a m   b a h a s a   I n g g r i s,N a m a   a s l i,L o k a s i,N e g a r a
0,BIBSYS,BIBSYS,Trondheim,Norwegia
1,Central Institute for the Union Catalogue of Italian Libraries and Bibliographic Information,Istituto Centrale per il Catalogo Unico,Roma,Italia
2,German National Library,Deutsche Nationalbibliothek,Frankfurt,Jerman
3,Getty Research Institute,–,"Los Angeles, California",Amerika Serikat
4,Library and Archives Canada,Bibliothèque et Archives Canada,"Ottawa, Ontario",Kanada
5,Library of Alexandria,Bibliotheca Alexandrina,Alexandria,Mesir
6,Library of Congress (NACO consortium),–,"Washington, D.C.",Amerika Serikat
7,National Diet Library,国立国会図書館,Tokyo dan Kyoto,Jepang
8,National Library of Australia,–,Canberra,Australia
9,National Library of France,Bibliothèque nationale de France,Paris,Prancis
10,National Library of Israel,הספרייה הלאומית,Jerusalem,Israel
11,National Library of Portugal,Biblioteca Nacional de Portugal,Lisbon,Portugal
12,National Library of Spain,Biblioteca Nacional de España,Madrid,Spanyol
13,National Library of Sweden,Kungliga Biblioteket,Stockholm,Swedia
14,National Library of the Czech Republic,Národní knihovna České republiky,Praha,Republik Ceko
15,National Széchényi Library,Országos Széchényi Könyvtár,Budapest,Hungaria
16,RERO: Library Network of Western Switzerland,Réseau des bibliothèques de Suisse occidentale atau Westschweizer Bibliothekverbund,,Swiss
17,French university library consortium,Système universitaire de documentation,,Prancis
18,Swiss National Library,"Schweizerische Nationalbibliothek, Bibliothèque nationale suisse, Biblioteca nazionale svizzera, Rete delle bibliotheche della Svizzera occidentale",Berne,Swiss
19,NUKAT: Union Catalogue of Polish Research Libraries,NUKAT: katalog zbiorów polskich bibliotek naukowych,,Polandia
20,Vatican Library,Bibliotheca Apostolica Vaticana,–,Kota Vatikan
