,N a m a   S u p e r b e n u a,"U m u r   ( K e t e r a n g a n :   M t :   m i l i a r   t a h u n   y a n g   l a l u ,   J t :   j u t a   t a h u n   y a n g   l a l u )"
0,Yilgarn,"~4,4-3,6 Mt"
1,Vaalbara,"~3.6-3,1 Mt"
2,Ur,"~3,1-2,8 Mt"
3,Kenorland,~2.7-2.1 Mt
4,Nena,"~1,9 Mt"
5,Columbia,"~1,8-1,5 Mt"
6,Rodinia,"~1,1-0,75 Mt"
7,Pannotia,~600 Jt
8,Protogondwana,~550-300 Jt
9,Protolaurasia,~330-300 Jt
10,Euramerika,~410-300 Jt
11,Pangaea,~300 Jt
12,Gondwana,~200-160 Jt
13,Laurasia,~200-100 Jt
