,P a n g k a t,N e g a r a,J u m l a h   e l e m e n   W a r i s a n   B u d a y a   T a k b e n d a   y a n g   d i t u l i s   o l e h   U N E S C O   [ 1 8 ]
0,1,Tiongkok,40 [19]
1,2,Jepang,21 [20]
2,3,Korea Selatan,20 [21]
3,4,Spanyol,18 [22]
4,5,Kroasia Prancis Turki,17 [23][24][25]
5,6,Mongolia,14 [26]
6,7,Azerbaijan Belgia India Iran,13 [27][28][29][30]
7,8,Vietnam,12 [31]
8,9,Peru,11 [32]
9,10,Kolombia Kazakhstan,10 [33][34]
10,11,Indonesia Italia Meksiko,9 [35][36][37]
11,12,Brasil Oman Uni Emirat Arab,8 [38][39][40]
12,13,Maroko Portugal Rumania,7 [41][42][43]
13,14,Arab Saudi,6 [44]
