,"D a t a   i k l i m   W a s h i n g t o n ,   D . C .   ( R e a g a n   N a t i o n a l   A i r p o r t ) ,   n o r m a l   1 9 8 1 − 2 0 1 0 ,   e k s t r e m   1 8 7 1 − s a a t   i n i [ a ]","D a t a   i k l i m   W a s h i n g t o n ,   D . C .   ( R e a g a n   N a t i o n a l   A i r p o r t ) ,   n o r m a l   1 9 8 1 − 2 0 1 0 ,   e k s t r e m   1 8 7 1 − s a a t   i n i [ a ]","D a t a   i k l i m   W a s h i n g t o n ,   D . C .   ( R e a g a n   N a t i o n a l   A i r p o r t ) ,   n o r m a l   1 9 8 1 − 2 0 1 0 ,   e k s t r e m   1 8 7 1 − s a a t   i n i [ a ]","D a t a   i k l i m   W a s h i n g t o n ,   D . C .   ( R e a g a n   N a t i o n a l   A i r p o r t ) ,   n o r m a l   1 9 8 1 − 2 0 1 0 ,   e k s t r e m   1 8 7 1 − s a a t   i n i [ a ]","D a t a   i k l i m   W a s h i n g t o n ,   D . C .   ( R e a g a n   N a t i o n a l   A i r p o r t ) ,   n o r m a l   1 9 8 1 − 2 0 1 0 ,   e k s t r e m   1 8 7 1 − s a a t   i n i [ a ]","D a t a   i k l i m   W a s h i n g t o n ,   D . C .   ( R e a g a n   N a t i o n a l   A i r p o r t ) ,   n o r m a l   1 9 8 1 − 2 0 1 0 ,   e k s t r e m   1 8 7 1 − s a a t   i n i [ a ]","D a t a   i k l i m   W a s h i n g t o n ,   D . C .   ( R e a g a n   N a t i o n a l   A i r p o r t ) ,   n o r m a l   1 9 8 1 − 2 0 1 0 ,   e k s t r e m   1 8 7 1 − s a a t   i n i [ a ]","D a t a   i k l i m   W a s h i n g t o n ,   D . C .   ( R e a g a n   N a t i o n a l   A i r p o r t ) ,   n o r m a l   1 9 8 1 − 2 0 1 0 ,   e k s t r e m   1 8 7 1 − s a a t   i n i [ a ]","D a t a   i k l i m   W a s h i n g t o n ,   D . C .   ( R e a g a n   N a t i o n a l   A i r p o r t ) ,   n o r m a l   1 9 8 1 − 2 0 1 0 ,   e k s t r e m   1 8 7 1 − s a a t   i n i [ a ]","D a t a   i k l i m   W a s h i n g t o n ,   D . C .   ( R e a g a n   N a t i o n a l   A i r p o r t ) ,   n o r m a l   1 9 8 1 − 2 0 1 0 ,   e k s t r e m   1 8 7 1 − s a a t   i n i [ a ]","D a t a   i k l i m   W a s h i n g t o n ,   D . C .   ( R e a g a n   N a t i o n a l   A i r p o r t ) ,   n o r m a l   1 9 8 1 − 2 0 1 0 ,   e k s t r e m   1 8 7 1 − s a a t   i n i [ a ]","D a t a   i k l i m   W a s h i n g t o n ,   D . C .   ( R e a g a n   N a t i o n a l   A i r p o r t ) ,   n o r m a l   1 9 8 1 − 2 0 1 0 ,   e k s t r e m   1 8 7 1 − s a a t   i n i [ a ]","D a t a   i k l i m   W a s h i n g t o n ,   D . C .   ( R e a g a n   N a t i o n a l   A i r p o r t ) ,   n o r m a l   1 9 8 1 − 2 0 1 0 ,   e k s t r e m   1 8 7 1 − s a a t   i n i [ a ]","D a t a   i k l i m   W a s h i n g t o n ,   D . C .   ( R e a g a n   N a t i o n a l   A i r p o r t ) ,   n o r m a l   1 9 8 1 − 2 0 1 0 ,   e k s t r e m   1 8 7 1 − s a a t   i n i [ a ]"
0,Rekor tertinggi °F (°C),79 (26),84 (29),93 (34),95 (35),99 (37),104 (40),106 (41),106 (41),104 (40),96 (36),86 (30),79 (26),106 (41)
1,Rata-rata tertinggi °F (°C),43.4 (6.3),47.1 (8.4),55.9 (13.3),66.6 (19.2),75.4 (24.1),84.2 (29),88.4 (31.3),86.5 (30.3),79.5 (26.4),68.4 (20.2),57.9 (14.4),46.8 (8.2),66.7 (19.3)
2,Rata-rata harian °F (°C),36.0 (2.2),39.0 (3.9),46.8 (8.2),56.8 (13.8),66.0 (18.9),75.2 (24),79.8 (26.6),78.1 (25.6),71.0 (21.7),59.5 (15.3),49.6 (9.8),39.7 (4.3),58.13 (14.53)
3,Rata-rata terendah °F (°C),28.6 (−1.9),30.9 (−0.6),37.6 (3.1),47.0 (8.3),56.5 (13.6),66.3 (19.1),71.1 (21.7),69.7 (20.9),62.4 (16.9),50.6 (10.3),41.2 (5.1),32.5 (0.3),49.5 (9.7)
4,Rekor terendah °F (°C),−14 (−26),−15 (−26),4 (−16),15 (−9),33 (1),43 (6),52 (11),49 (9),36 (2),26 (−3),11 (−12),−13 (−25),−15 (−26)
5,Presipitasi inci (mm),2.81 (71.4),2.62 (66.5),3.48 (88.4),3.06 (77.7),3.99 (101.3),3.78 (96),3.73 (94.7),2.93 (74.4),3.72 (94.5),3.40 (86.4),3.17 (80.5),3.05 (77.5),"39,74 (1.009,4)"
6,Curah salju inci (cm),5.6 (14.2),5.7 (14.5),1.3 (3.3),trace,0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0.5 (1.3),2.3 (5.8),15.4 (39.1)
7,Rata-rata hari hujan atau bersalju (≥ 0.01 in),9.6,9.0,10.5,10.4,11.1,10.7,10.3,8.2,8.3,7.7,8.6,9.7,114.1
8,Rata-rata hari bersalju (≥ 0.1 in),3.0,2.4,0.9,0.1,0,0,0,0,0,0,0.2,1.5,8.1
9,% kelembapan,62.1,60.5,58.6,58.0,64.5,65.8,66.9,69.3,69.7,67.4,64.7,64.1,64.3
10,Rata-rata sinar matahari bulanan,144.6,151.8,204.0,228.2,260.5,283.2,280.5,263.1,225.0,203.6,150.2,133.0,"2.527,7"
11,Kemungkinan sinar matahari (persen),48,50,55,57,59,64,62,62,60,59,50,45,57
12,Sumber: NOAA (relative humidity and sun 1961−1990)[49][50][51][52],Sumber: NOAA (relative humidity and sun 1961−1990)[49][50][51][52],Sumber: NOAA (relative humidity and sun 1961−1990)[49][50][51][52],Sumber: NOAA (relative humidity and sun 1961−1990)[49][50][51][52],Sumber: NOAA (relative humidity and sun 1961−1990)[49][50][51][52],Sumber: NOAA (relative humidity and sun 1961−1990)[49][50][51][52],Sumber: NOAA (relative humidity and sun 1961−1990)[49][50][51][52],Sumber: NOAA (relative humidity and sun 1961−1990)[49][50][51][52],Sumber: NOAA (relative humidity and sun 1961−1990)[49][50][51][52],Sumber: NOAA (relative humidity and sun 1961−1990)[49][50][51][52],Sumber: NOAA (relative humidity and sun 1961−1990)[49][50][51][52],Sumber: NOAA (relative humidity and sun 1961−1990)[49][50][51][52],Sumber: NOAA (relative humidity and sun 1961−1990)[49][50][51][52],Sumber: NOAA (relative humidity and sun 1961−1990)[49][50][51][52]
