,0,1,2,3,4,5,6
0,Kelipatan kebawah,Kelipatan kebawah,Kelipatan kebawah,,Kelipatan keatas,Kelipatan keatas,Kelipatan keatas
1,Harga,Simbol,Nama,,Harga,Simbol,Nama
2,10−1 Wb,dWb,deciweber,,101 Wb,daWb,decaweber
3,10−2 Wb,cWb,centiweber,,102 Wb,hWb,hectoweber
4,10−3 Wb,mWb,milliweber,,103 Wb,kWb,kiloweber
5,10−6 Wb,µWb,microweber,,106 Wb,MWb,megaweber
6,10−9 Wb,nWb,nanoweber,,109 Wb,GWb,gigaweber
7,10−12 Wb,pWb,picoweber,,1012 Wb,TWb,teraweber
8,10−15 Wb,fWb,femtoweber,,1015 Wb,PWb,petaweber
9,10−18 Wb,aWb,attoweber,,1018 Wb,EWb,exaweber
10,10−21 Wb,zWb,zeptoweber,,1021 Wb,ZWb,zettaweber
11,10−24 Wb,yWb,yoctoweber,,1024 Wb,YWb,yottaweber
12,faktor pengali yang umum dipergunakan dicetak tebal.,faktor pengali yang umum dipergunakan dicetak tebal.,faktor pengali yang umum dipergunakan dicetak tebal.,faktor pengali yang umum dipergunakan dicetak tebal.,faktor pengali yang umum dipergunakan dicetak tebal.,faktor pengali yang umum dipergunakan dicetak tebal.,faktor pengali yang umum dipergunakan dicetak tebal.
