,B e n d e r a,L a m b a n g,N a m a,L o k a s i,M o t t o,L u a s,P o p u l a s i,I b u   k o t a
0,,,Anguilla,Karibia dan Wilayah Atlantik Utara,"Strength and Endurance (""Kekuatan dan Daya Tahan"")","146 km2 (56,4 sq mi) [8]",13.500[9],The Valley
1,,,Teritori Antartika Britania,Antartika,"Research and discovery (""Penelitian dan penemuan"")",1.709.400 km2 (660.000 sq mi) [8],50 pada musim dingin; lebih dari 400 pada musim panas [10],Rothera (pangkalan utama)
2,,,Bermuda,Samudra Atlantik Utara,"Quo fata ferunt (""Ke mana takdir membawa [kita]"")","54 km2 (20,8 sq mi) [11]",64.000 (perkiraan 2007)[12],Hamilton
3,,,Kepulauan Cayman,Karibia dan Wilayah Atlantik Utara,"He hath founded it upon the seas (""Dia telah mendirikan nya di atas laut"")","259 km2 (100,0 sq mi) [13]",60.456 [13],George Town
4,,,Kepulauan Falkland,Samudra Atlantik Selatan,"Desire the right (""Keinginan akan hak"")",12.173 km2 (4.700 sq mi) [11],2.955 (sensus 2006)[14],Stanley
5,,,Georgia Selatan dan Kepulauan Sandwich Selatan,Samudra Atlantik Selatan,"Leo terram propriam protegat (""Biarkan sang Singa melindungi tanahnya sendiri"")",4.066 km2 (1.570 sq mi) [15],99 [16],King Edward Point/Grytviken
6,,,Gibraltar,Iberia,"Nulli expugnabilis hosti (""Tiada musuh yang akan mengusir kita"")","65 km2 (25,1 sq mi) [17]",28.800 (2005)[18],Gibraltar
7,,,Montserrat,Karibia dan Wilayah Atlantik Utara,,101 km2 (39 sq mi)* [19],4.655 (perkiraan 2006)[19],Plymouth (ditinggalkan karena letusan gunung berapi—ibu kota de facto adalah Brades)
8,,,Kepulauan Pitcairn,Samudra Pasifik,,45 km2 (17 sq mi)(seluruh pulau) [20],51 (2008)[21],Adamstown
9,,,Teritori Samudra Hindia Britania,Samudra Hindia,"In tutela nostra Limuria (""Limuria dalam tanggung jawab kami"")",46 km2 (18 sq mi) [22],sekitar 3.000 personel militer Britania Raya dan AS.[23],Diego Garcia (pangkalan)
10,[Catatan 1],[Catatan 1],"Saint Helena, Ascension, dan Tristan da Cunha",Samudra Atlantik Selatan,"St. Helena: Loyal and Unshakeable (""Setia dan Tak Tergoyahkan "") Tristan da Cunha: Our faith is our strength (""Iman kita adalah kekuatan kita"")",122 km2 (47 sq mi) [24],4.000 (2007)[25],Jamestown
11,,,Kepulauan Turks dan Caicos,Karibia dan Wilayah Atlantik Utara,,430 km2 (166 sq mi) [26],32.000 (perkiraan sensus 2006)[26],Cockburn Town
12,,,Kepulauan Virgin Britania Raya,Karibia dan Wilayah Atlantik Utara,"Vigilate (""Waspadalah"")",153 km2 (59 sq mi) [27],27.000 (perkiraan 2005)[27],Road Town
13,,,Area Pangkalan Kuasa Akrotiri dan Dhekelia,Laut Tengah (Siprus),,255 km2 (98 sq mi) [28],14.000 (setengahnya merupakan personel militer Britania);,Episkopi Cantonment
