,T h e   E c o n o m i s t ' s   W o r l d ' s   M o s t   L i v e a b l e   C i t i e s   2 0 1 1   ( T o p   1 0 ) [ 1 ],T h e   E c o n o m i s t ' s   W o r l d ' s   M o s t   L i v e a b l e   C i t i e s   2 0 1 1   ( T o p   1 0 ) [ 1 ] . 1,T h e   E c o n o m i s t ' s   W o r l d ' s   M o s t   L i v e a b l e   C i t i e s   2 0 1 1   ( T o p   1 0 ) [ 1 ] . 2,T h e   E c o n o m i s t ' s   W o r l d ' s   M o s t   L i v e a b l e   C i t i e s   2 0 1 1   ( T o p   1 0 ) [ 1 ] . 3
0,,Kota,Negara,Rating
1,1.0,Melbourne,Australia,97.5
2,2.0,Vienna,Austria,97.4
3,3.0,Vancouver,Kanada,97.3
4,4.0,Toronto,Kanada,97.2
5,5.0,Calgary,Kanada,96.6
6,6.0,Sydney,Australia,96.1
7,7.0,Helsinki,Finlandia,96.0
8,8.0,Perth,Australia,95.9
9,9.0,Adelaide,Australia,95.9
10,10.0,Auckland,Selandia Baru,95.7
