,T a n d a,T a n d a,T a n d a,T a n d a,R a s i   b i n t a n g [ 3 ] [ 4 ],R a s i   b i n t a n g [ 3 ] [ 4 ],R a s i   b i n t a n g [ 3 ] [ 4 ],R a s i   b i n t a n g [ 3 ] [ 4 ]
0,Aries,,21 Maret - 19 April,14 April – 14 Mei,Aries,19 April – 13 Mei,25.5 hari,Hamal
1,Taurus,,20 April - 20 Mei,14 Mei – 14 Juni,Taurus,14 Mei – 19 Juni,38.2 hari,Aldebaran
2,Gemini,,21 Mei - 20 Juni,14 Juni – 14 Juli,Gemini,20 Juni – 20 Juli,29.3 hari,Pollux
3,Kanser,,21 Juni - 22 Juli,14 Juli – 14 Agustus,Kanser,21 Juli – 9 Agustus,21.1 hari,Al Tarf
4,Leo,,23 Juli - 22 Agustus,14 Agustus – 13 September,Leo,10 Agustus – 15 September,36.9 hari,Regulus
5,Virgo,,23 Agustus - 22 September,13 September – 14 Oktober,Virgo,16 September – 30 Oktober,44.5 hari,Spica
6,Libra,,23 September - 22 Oktober,14 Oktober – 13 November,Libra,31 Oktober – 22 November,21.1 hari,Zubeneschamali
7,Skorpio,,23 Oktober - 22 November,13 November – 14 Desember,Skorpio,23 November – 29 November,8.4 hari,Antares
8,Sagitarius,,23 November - 21 Desember,14 Desember – 13 Januari,Sagitarius,18 Desember – 18 Januari,33.6 hari,Kaus Australis
9,Kaprikornus,,22 Desember - 19 Januari,13 Januari – 12 Februari,Kaprikornus,19 Januari – 15 Februari,27.4 hari,Deneb Algedi
10,Akuarius,,20 Januari - 18 Februari,12 Februari – 14 Maret,Akuarius,16 Februari – 11 Maret,23.9 hari,Sadalsuud
11,Pises,,19 Februari - 20 Maret,14 Maret – 14 April,Pises,12 Maret – 18 April,37.7 hari,Eta Piscium
12,Ofiukus,,tidak ada di dalam daftar,tidak ada di dalam daftar,Ofiukus,30 November – 17 Desember,18.4 hari,Rasalhague/ Alpha Ophiuchi
